ALB                    CARICA BATTERIA BC 12V
CFS                    RELÈ DI FASE
AMC1                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AMC2                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AB1                    CARICABATTERIE BATTERIE EMERGENZA 24V
AB2                    CARICABATTERIE BATTERIE EMERGENZA 24V
ALC                    ALIMENTATORE VALVOLE CENTRALINA 24V 100W
BC                     BATTERIA ALLARME 12V 7AH
F1                     FUSIBILE 4A TR1
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5 - F6                FUSIBILE MOTORE PORTE 48VCC
F8                     FUSIBILE PATTINO RETRATTILE
F10                    FUSIBILE 4A PROTEZIONE +24VDC GRUPPO BATTERIE
F11                    FUSIBILE 4A PROTEZIONE +48VDC GRUPPO BATTERIE
F16                    FUSIBILE 4A ALIMENTATORE ALC

VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X-SMD           SCHEDA MADRE
PER16B-SMD             SCHEDA ESPANSIONE CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
SMS-START              SOFT STARTER (SMS)
ECACEX                 CONTROLLO ACCESSO IN FOSSA
RX                     RELE' ACCESSO IN FOSSA
RM                     RELE' MANUTENZIONE
P1                     RELE' AUSILIARIO P
Y                      TELERUTTORE STELLA
P                      TELERUTTORE PROTEZIONE
DIS                    TELERUTTORE DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELÈ BASSA VELOCITÀ
RP                     RELÈ PATTINO
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
RSS                    RELÈ ZONA SICUREZZA (OMRON)
RBL                    RELÈ ALLARME PORTE APERTE
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD4                    RADDRIZZATORE PATTINO
RD5 - RD6              RADDRIZZATORI PORTE 48VCC
