AL- - AL1              PULSANTE ALLARME
AL- - ALR              SPIA ALLARME RICEVUTO
AL- - ALP              LUMINOSA ALLARME AI PIANI
AL- - PAR              PULSANTE ALLARME RICEVUTO
AL- - PRS              PULSANTE RESET ALLARME
AL- - AL+              ALIMENTAZIONE CITOFONO IN ALLARME
AL+ - AL2              SUONERIA ALLARME
AL+ - LEM              LUCE EMERGENZA 12VDC
CTF - CTF              CONSENSO COMBINATORE TELEFONICO
IG - IG                4° POLO INTERRUTTORE GENERALE
AL1 - AL2              PULSANTE ALLARME (SENZA LEGGE 13)
AL2 - AL3              SUONERIA ALLARME(SENZA LEGGE 13)
AL2 - AL4              CATENA CONTATTI ALLARME PORTE APERTE
ICP - ICP              INDUTTORE CABINA SPIA AL PIANO (SENZA LEGGE 13)
PT1 - PT2              TERMISTORI MOTORE
PT2 - PT3              CONTATTO ERRORE SCHEDA iCON CENTRALINA
wt-br-gn-ye            COLLEGAMENTI MAGNETI VALVOLE SCHEDA iVALVE
R - S - T              LINEA TRIFASE
U - V - W              MOTORE POMPA
X - Y- Z               MOTORE POMPA
L1 - L2                LINEA LUCE CABINA 230VAC
L1 - L3                LUCE CABINA A TEMPO
+24                    24V GRUPPO BATTERIE
+48                    48V GRUPPO BATTERIE
--                     NEGATIVO GRUPPO BATTERIE
LE - LE                SPIA IN EMERGENZA 24V

M1 - M1                MOTORE PORTE LATO 1 - 48VCC
M2 - M2 -              MOTORE PORTE LATO 2 - 48VCC
BR1 - RA1              CONTATTO RALLENTAMENTO APERTURA LATO 1
BR1 - RC1              CONTATTO RALLENTAMENTO CHIUSURA LATO 1
BR2 - RA2              CONTATTO RALLENTAMENTO APERTURA LATO 2
BR2 - RC2              CONTATTO RALLENTAMENTO CHIUSURA LATO 2

GND - IAX              INDUTTORE FERMATA CON PIANI CORTI ESTREMI
